its,load_time(us),get_time(us)
1,3356,232,13
2,3334,35,13
3,3501,56,13
4,3331,45,13
5,3507,23,12
6,3490,52,13
7,3333,42,12
8,3492,28,13
9,3371,49,12
10,3332,43,13
11,3491,30,16
12,3331,49,14
13,3393,31,11
14,3462,27,14
15,3337,53,14
16,3686,54,13
17,3331,26,11
18,3331,46,13
19,3714,33,14
20,3334,49,12
21,3506,34,11
22,3460,26,13
23,3362,50,14
24,3543,52,13
25,3365,29,16
26,3330,49,12
27,3540,55,12
28,3369,24,12
29,3390,36,12
30,3400,50,13
31,3328,26,15
32,3493,44,14
33,3366,46,13
34,3330,27,12
35,3492,51,15
36,3332,47,14
37,3530,20,27
38,4645,91,106
39,4527,22,12
40,4547,70,18
41,4534,43,14
42,4543,40,19
43,4541,37,11
44,4579,68,18
45,4497,36,18
46,4571,71,18
47,4468,67,17
48,4648,35,18
49,4540,68,17
50,4608,69,16
51,4447,35,17
52,4700,87,18
53,4751,95,17
54,4779,51,19
55,4518,97,19
56,4646,43,19
57,4485,80,18
58,4684,77,15
59,4485,33,19
60,4514,83,17
61,4499,74,20
62,4764,37,19
63,4600,80,19
64,4540,75,19
65,4558,36,18
66,4468,68,17
67,4563,69,17
68,4536,38,17
69,4556,87,21
70,4499,108,20
71,4576,48,17
72,4516,40,12
73,4586,76,17
74,4447,21,11
75,4597,83,16
76,4510,22,12
77,4603,77,18
78,4487,34,12
79,4614,50,17
80,4517,35,11
81,4567,76,17
82,4559,26,13
83,4532,79,18
84,4551,38,13
85,4553,41,17
86,4562,43,13
87,4624,72,17
88,4514,34,19
89,4673,80,19
90,4516,65,15
91,4776,40,19
92,4507,74,18
93,4698,39,18
94,4503,76,17
95,4663,78,15
96,4468,37,17
97,4705,77,17
98,4500,62,18
99,4689,38,18
100,4577,74,16
101,4603,67,19
102,4594,35,16
103,4698,73,17
104,4125,48,14
105,3731,27,15
106,3333,51,14
107,3326,51,16
108,3644,32,13
109,3333,52,13
110,3457,21,11
111,3459,55,14
112,3330,54,22
113,3652,30,13
114,3341,54,14
115,3330,47,14
116,3720,30,14
117,3326,53,13
118,3425,32,13
119,3405,28,15
120,3337,53,15
121,3495,56,14
122,3333,25,14
123,3333,44,15
124,3547,53,15
125,3327,27,13
126,3402,38,13
127,3384,52,15
128,3330,26,13
129,3509,60,13
130,3333,27,13
131,3331,47,14
132,3539,54,13
133,3325,27,15
134,3393,32,12
135,3406,53,14
136,3340,26,14
137,3543,53,14
138,3335,48,14
139,3332,26,15
140,3542,53,13
141,3327,54,14
142,3473,23,12
143,3331,54,14
144,3329,47,13
145,3497,29,14
146,3333,52,14
147,3330,25,14
148,3642,57,15
149,3331,44,14
150,3477,22,13
151,3330,54,13
152,3330,48,14
153,3542,45,13
154,3336,70,16
155,3334,52,16
156,3511,29,14
157,3285,49,12
158,3308,43,13
159,3435,25,14
160,3333,45,13
161,3634,46,14
162,3330,25,13
163,3330,42,14
164,3847,52,14
165,3300,27,13
166,3282,32,16
167,3606,32,13
168,3276,49,13
169,3604,47,12
170,3303,25,13
171,3304,44,12
172,3775,55,14
173,3325,23,13
174,3268,45,12
175,3672,49,13
176,3326,26,14
177,3725,48,13
178,3375,45,14
179,3367,26,13
180,3609,59,15
181,3334,46,14
182,3332,28,14
183,3523,58,14
184,3332,26,14
185,3486,48,14
186,3331,54,21
187,3357,27,14
188,3504,60,16
189,3334,46,14
190,3333,25,14
191,3547,57,15
192,3332,47,14
193,3487,27,14
194,3333,52,15
195,3331,47,14
196,3496,35,14
197,3334,52,14
198,3332,46,14
199,3566,34,14
200,3344,63,15
201,3666,52,13
202,3750,41,15
203,3328,69,14
204,3721,35,17
205,3332,61,13
206,3330,48,14
207,3603,31,13
208,3332,58,12
209,3467,32,11
210,3431,29,15
211,3331,54,15
212,3501,54,13
213,3333,26,15
214,3335,58,15
215,3611,54,15
216,3332,25,17
217,3480,32,13
218,3497,54,14
219,3333,27,15
220,3736,62,13
221,3326,27,14
222,3332,46,14
223,3633,54,15
224,3336,33,18
225,3489,37,13
226,3470,55,14
227,3338,26,14
228,3543,50,16
229,3342,46,14
230,3327,25,15
231,3756,48,13
232,3290,42,14
233,3286,40,12
234,3643,54,14
