its,time_enclave(ms),time_keyDrivation(ms),time_sum(ms)
0,178.112,4.468,182.581
1,147.345,3.824,151.17
2,148.822,4.615,153.437
3,147.064,3.424,150.489
4,154.823,3.418,158.242
5,151.807,4.886,156.694
6,151.82,4.137,155.957
7,148.363,4.622,152.985
8,157.022,5.129,162.153
9,193.836,5.049,198.886
10,179.631,3.47,183.102
11,158.866,3.487,162.353
12,150.895,3.692,154.587
13,155.129,3.477,158.607
14,196.363,5.113,201.477
15,180.683,3.41,184.094
16,154.11,3.928,158.039
17,160.49,4.52,165.012
18,160.241,3.937,164.179
19,154.325,3.673,157.998
20,164.317,3.429,167.747
21,147.893,4.251,152.144
22,143.326,3.86,147.186
23,144.907,3.818,148.725
24,142.052,3.793,145.846
25,139.732,3.44,143.172
26,138.695,3.412,142.108
27,150.335,3.42,153.755
28,145.503,3.42,148.924
29,137.131,3.355,140.486
30,167.986,4.99,172.976
31,157.153,3.425,160.579
32,142.124,3.789,145.914
33,139.718,3.369,143.088
34,140.59,3.633,144.223
35,139.171,3.582,142.754
36,148.548,3.586,152.134
37,138.499,3.562,142.062
38,157.151,3.513,160.664
39,137.08,3.8,140.881
40,137.406,3.418,140.825
41,141.248,3.843,145.092
42,150.306,4.912,155.219
43,135.775,3.428,139.204
44,140.943,3.613,144.557
45,136.242,3.506,139.748
46,141.857,3.452,145.31
47,148.089,3.43,151.52
48,140.824,3.496,144.32
49,135.199,3.593,138.793
50,137.705,3.423,141.129
51,137.809,3.562,141.372
52,191.466,3.446,194.913
53,138.187,3.435,141.623
54,150.706,3.604,154.311
55,136.71,3.417,140.127
56,141.165,3.42,144.586
57,139.278,3.666,142.945
58,138.015,3.42,141.436
59,136.685,3.424,140.11
60,145.66,3.42,149.08
61,145.067,3.434,148.502
62,139.412,3.433,142.846
63,136.874,3.572,140.446
64,139.203,3.354,142.557
65,148.404,3.414,151.819
66,157.274,3.471,160.746
67,156.412,3.6,160.012
68,180.349,4.891,185.241
69,153.246,3.364,156.611
70,144.738,3.421,148.16
71,138.853,3.518,142.371
72,141.298,3.603,144.901
73,137.178,3.405,140.584
74,148.384,3.45,151.835
75,137.12,3.433,140.553
76,137.108,3.441,140.549
77,139.675,3.897,143.572
78,141.668,3.444,145.113
79,137.263,3.44,140.703
80,137.285,3.548,140.834
81,136.957,3.416,140.373
82,149.882,3.597,153.48
83,140.565,3.597,144.163
84,138.829,3.429,142.258
85,137.876,3.726,141.602
86,139.271,3.429,142.7
87,139.43,3.422,142.853
88,148.197,3.6,151.798
89,134.533,3.509,138.042
