its,time(us)
0,3937
1,5000
2,5526
3,5828
4,5975
5,5803
6,5810
7,5493
8,5554
9,5525
10,5611
11,5573
12,5055
13,5085
14,5170
15,5380
16,5673
17,5815
18,6496
19,5796
20,5877
21,5711
22,5317
23,5135
24,5113
25,5553
26,5673
27,5505
28,5561
29,5599
30,5593
31,5361
32,5474
33,5782
34,5495
35,3901
36,4906
37,5389
38,5209
39,5183
40,5094
41,4005
42,3865
43,3845
44,4309
45,3750
46,4274
47,3736
48,4841
49,4569
50,4158
51,3950
52,4210
53,4372
54,3751
55,4052
56,3735
57,4124
58,4263
59,3776
60,4156
61,4033
62,4481
63,4011
64,3882
65,3820
66,3899
67,3977
68,3798
69,3823
70,4449
71,3761
72,4170
73,4578
74,3766
75,4260
76,4449
77,3852
78,4553
79,3961
80,3767
81,3987
82,3948
83,3835
84,4191
85,4134
86,4529
87,3702
88,4822
89,4002
90,3833
91,4045
92,4169
93,3782
94,4757
95,4056
96,3885
97,4543
98,4210
99,3757
100,3970
101,4755
102,3870
103,3750
104,4736
105,3914
106,3734
107,4806
108,3876
109,3834
110,4743
111,3775
112,3885
113,4910
114,3733
115,3853
116,4849
117,3767
118,3895
119,4897
120,3784
121,3856
122,5098
123,3755
124,4038
125,5560
126,4998
127,5944
128,4884
129,3764
130,3737
131,4569
132,3752
133,4121
134,4198
135,3782
136,4631
137,3856
138,3724
139,4768
140,3756
141,3833
142,4995
143,3792
144,3742
145,5178
146,3801
147,3732
148,5161
149,3731
150,3672
151,5292
152,3811
153,3744
154,5312
155,3742
156,4092
157,5113
158,3981
159,4588
160,4764
161,3963
162,5263
163,4986
164,6339
165,5998
166,6010
167,6190
168,5605
169,6513
170,5838
171,6383
172,5819
173,5633
174,4451
175,6719
176,5783
177,5684
178,6329
179,5121
180,5846
181,6217
182,5409
183,6091
184,5120
185,5992
186,5313
187,4672
188,3915
189,6051
190,5567
191,6160
192,5640
193,5452
194,6074
195,5481
196,6127
197,5250
198,5836
199,5705
